Student_ID,Application_ID,Registration_Code,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
ST202603169,APP1004106,REG-RJ0UF,Single,Over 23 years old,1,Informatics Engineering,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",100.0,No,No,No,Yes,Male,No,25,No,0,5,13,1,11.0,0,0,5,11,1,10.0,0,13.9,-0.3,0.79,Enrolled
ST202601905,APP1001206,REG-H1JXP,Single,1st phase - special contingent (Azores Island),2,Basic Education,Daytime,Secondary education,124.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,113.9,Yes,No,No,Yes,F,Yes,19,No,0,6,8,6,12.666666666666666,0,0,6,7,6,12.0,0,12.7,3.7,-1.7,Graduate
ST202601019,APP1000334,REG-V22HR,Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Cleaning workers,Armed Forces Sergeants,136.1,Yes,No,Yes,Yes,Female,,21,No,3,6,8,3,12.0,0,2,6,6,2,12.5,0,12.4,0.5,1.79,Enrolled
ST202603705,APP1002243,REG-JOVS0,single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,139.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",125.0,Yes,No,No,Yes,Female,Yes,19,No,0,7,7,6,12.9,0,0,7,7,6,12.9,0,7.6,2.6,0.32,Graduate
ST202602426,APP1002735,REG-V50Q8,SINGLE,1st phase - general contingent,5,Management,Daytime,Secondary education,134.0,Portuguese,Higher Education - Degree,,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,134.7,No,No,No,Yes,Male,No,22,No,1,5,10,4,11.75,0,0,5,10,3,11.0,0,7.6,2.6,0.32,Enrolled
ST202603464,APP1000159,REG-ZGB9X,Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,164.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,161.2,No,No,No,Yes,Male,Yes,18,No,0,6,7,6,15.571428571428571,0,0,6,7,6,16.142857142857142,0,13.9,-0.3,0.79,Graduate
ST202600336,APP1003564,REG-A6MDM,Single,International student (bachelor),1,Social Service,Daytime,Secondary education,140.0,Santomean,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,No,No,No,Yes,Male,No,21,yes,0,6,7,6,12.333333333333334,0,0,6,7,6,13.428571428571429,0,11.1,0.6,2.02,Graduate
ST202602197,APP1002386,REG-OOCS2,Single,1st phase - special contingent (Madeira Island),2,Communication Design,Daytime,Secondary education,137.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",141.2,Yes,No,Yes,Yes,Male,No,19,No,0,6,11,5,11.2,0,0,6,7,6,12.0,0,9.4,-0.8,-3.12,Graduate
ST202600067,APP1000942,REG-J3IT2,Single,Holders of other higher courses,1,Agronomy,Daytime,Higher education - degree,130.0,Portuguese,Higher Education - Degree,Higher Education - Degree,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Specialists in Intellectual and Scientific Activities,130.0,Yes,N,No,Yes,Male,No,29,No,1,6,10,6,17.11111111111111,0,2,6,9,6,15.571428571428571,0,13.9,-0.3,0.79,Graduate
ST202603546,APP1002398,REG-PZ5PF,Single,1st phase - general contingent,1,Agronomy,Daytime,Secondary education,148.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Meal preparation assistants,Meal preparation assistants,143.5,No,No,Yes,Yes,Male,No,18,No,0,6,6,5,15.0,0,0,6,8,4,14.5,0,8.9,1.4,3.51,Graduate
ST202601183,APP1001217,REG-MTVCE,Married,1st phase - general contingent,1,Management (evening attendance),Evening,Secondary education,144.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,,No,No,No,Yes,Female,No,28,N,0,5,5,5,12.0,0,0,5,6,5,11.6,0,7.6,2.6,0.32,Graduate
ST202601311,APP1002522,REG-CIJFZ,SINGLE,Technological specialization diploma holders,1,Social Service,Daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,121.0,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,12.333333333333334,0,2,6,8,6,11.333333333333334,0,13.9,-0.3,0.79,Graduate
ST202602394,APP1002920,REG-BPADU,single,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,137.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",131.0,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,8,13.73125,0,0,8,8,8,13.73125,0,9.4,-0.8,-3.12,Graduate
ST202600854,APP1003696,REG-OY4SA,SINGLE,1st phase - general contingent,4,Nursing,Daytime,Secondary education,129.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,117.1,Yes,No,No,Yes,Female,No,30,No,0,7,7,7,14.692857142857145,0,0,8,8,8,14.9625,0,12.4,0.5,1.79,Graduate
ST202601238,APP1003332,REG-W5MDT,Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,140.0,No,No,No,Yes,Male,No,35,NO,0,6,16,4,12.0,0,0,6,11,3,10.333333333333334,0,13.9,-0.3,0.79,Dropout
ST202603510,APP1004117,REG-U7DL9,Single,1st phase - general contingent,3,Communication Design,Daytime,Secondary education,146.0,Portuguese,Unknown,Unknown,Student,Student,143.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.5,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Dropout
ST202602424,APP1004135,REG-WTA5I,Single,Change of institution/course,1,Informatics Engineering,Daytime,Secondary education,129.0,Portuguese,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,121.6,Yes,NO,No,Yes,Male,No,19,No,0,5,10,0,0.0,0,0,5,7,1,10.0,0,7.6,2.6,0.32,Enrolled
ST202602130,APP1003800,REG-A2Q9O,Single,2nd phase - general contingent,1,Management,Daytime,Secondary education,118.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,,Unskilled Workers,350.0,No,No,No,Yes,Female,No,19,No,0,5,11,3,10.666666666666666,0,0,5,9,4,10.25,0,11.1,0.6,2.02,Graduate
ST202603132,APP1003331,REG-H2VPA,Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Intermediate Level Technicians and Professions,131.6,No,No,No,Yes,Male,Yes,18,No,0,6,6,6,12.666666666666666,0,0,6,6,6,11.5,0,16.2,0.3,-0.92,Graduate
ST202603694,APP1000254,REG-QYH36,Single,Ordinance No. 854-B/99,1,Veterinary Nursing,Daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",140.0,Yes,No,No,Yes,Female,No,21,No,0,5,6,5,14.2,0,0,5,5,5,14.8,0,10.8,1.4,1.74,Graduate
ST202600525,APP1002136,REG-E6OOH,Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,126.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,122.5,Yes,No,No,No,Female,No,25,No,0,5,14,4,13.5,2,0,5,10,4,14.25,0,9.4,-0.8,-3.12,Dropout
ST202603129,APP1003983,REG-T3ZB5,SINGLE,Holders of other higher courses,1,Oral Hygiene,Daytime,Higher education - degree,140.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,140.0,No,No,Yes,No,Male,No,38,No,0,7,8,3,12.666666666666666,0,0,5,5,0,0.0,0,13.9,-0.3,0.79,Dropout
ST202602642,APP1002966,REG-FB1AJ,Single,2nd phase - general contingent,1,Oral Hygiene,Daytime,Secondary education,133.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,124.4,Yes,No,No,Yes,F,Yes,18,No,0,7,7,7,13.3,0,0,8,8,8,15.125,0,15.5,2.8,-4.06,Graduate
ST202601147,APP1003178,REG-IUOAY,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,99.0,Yes,No,No,Yes,Male,No,22,No,0,7,9,6,12.833333333333334,0,0,8,12,6,12.5,0,16.2,0.3,-0.92,Enrolled
ST202602927,APP1002361,REG-R4V8U,single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,125.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,125.7,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,13.0,0,0,6,7,6,11.666666666666666,0,8.9,1.4,3.51,Graduate
ST202600785,APP1001099,REG-MSKOQ,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,134.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,125.8,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,14.91875,0,0,8,8,8,15.355,0,15.5,2.8,-4.06,Graduate
ST202604419,APP1002812,REG-JXFSH,Married,1st phase - general contingent,1,Management (evening attendance),Evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,135.0,Yes,No,No,Yes,Male,No,32,No,0,5,5,5,14.8,0,0,5,5,5,14.2,0,7.6,2.6,0.32,Graduate
ST202601862,APP1002576,REG-QDCOK,Single,1st phase - general contingent,2,Informatics Engineering,Daytime,Secondary education,126.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Office workers, secretaries in general and data processing operators","Unskilled workers in agriculture, animal production, fisheries and forestry",122.5,Yes,No,No,Yes,Male,No,20,No,0,5,7,5,10.8,0,0,5,9,3,12.0,0,8.9,1.4,3.51,Enrolled
ST202602969,APP1000643,REG-QAFGO,Single,Over 23 years old,2,Oral Hygiene,Daytime,Secondary education,-10.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative staff,136.1,No,N,No,Yes,Male,No,26,No,0,7,7,2,11.75,0,0,5,10,0,0.0,0,12.4,0.5,1.79,Dropout
ST202602554,APP1003869,REG-OGHT7,Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,,105.0,No,no,No,Yes,Female,No,26,No,0,6,14,3,10.666666666666666,1,0,6,9,5,11.2,0,15.5,2.8,-4.06,Enrolled
ST202603814,APP1001637,REG-G85GG,Single,2nd phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,123.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,122.0,No,No,Yes,Yes,Male,No,19,No,0,6,7,6,13.166666666666666,0,0,6,9,5,13.2,0,8.9,1.4,3.51,Enrolled
ST202603134,APP1001015,REG-FG4G7,Single,2nd phase - general contingent,2,Tourism,Daytime,Secondary education,141.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Master's,Administrative staff,Administrative staff,127.7,No,No,No,Yes,Female,Yes,18,No,0,6,7,6,11.285714285714286,0,0,6,9,4,13.5,0,16.2,0.3,-0.92,Graduate
ST202601786,APP1001741,REG-QH8P0,Single,2nd phase - general contingent,1,Management,Daytime,Secondary education,139.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",133.4,No,No,No,Yes,Female,No,18,no,0,5,9,1,11.0,1,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled
ST202601463,APP1000406,REG-HVJZ0,Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,108.0,No,No,No,Yes,Female,Yes,19,No,0,7,10,6,13.0,0,0,7,7,7,13.285714285714286,0,12.4,0.5,1.79,Graduate
ST202602442,APP1001737,REG-Y6VIL,Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,118.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,118.0,No,No,No,Yes,Female,Yes,19,NO,0,6,7,5,11.0,0,0,6,7,5,12.8,0,12.4,0.5,1.79,Graduate
ST202600063,APP1001223,REG-EVUMM,Single,Change of course,1,Communication Design,Daytime,Technological specialization course,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,124.0,Yes,No,No,Yes,Female,Yes,21,No,4,12,12,12,13.333333333333334,0,5,12,12,11,12.545454545454543,0,15.5,2.8,-4.06,Graduate
ST202600629,APP1002949,REG-TTOKP,divorced,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",140.0,No,No,No,Yes,Female,Yes,43,No,0,6,6,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout
ST202603630,APP1002157,REG-QFAPG,SINGLE,1st phase - general contingent,1,Social Service (evening attendance),Evening,Secondary education,100.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Armed Forces Professions,-15.0,No,No,No,Yes,Female,,23,No,0,6,6,6,14.166666666666666,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate
ST202602633,APP1000310,REG-C1IVX,Single,Technological specialization diploma holders,1,Communication Design,Daytime,Technological specialization course,100.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,,104.8,No,No,Yes,No,Female,No,22,NO,2,7,9,5,11.6,0,5,9,9,5,10.0,0,12.4,0.5,1.79,Dropout
ST202601093,APP1003195,REG-M18OV,SINGLE,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",129.5,Yes,No,No,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
ST202603062,APP1000420,REG-EBIBF,Single,Change of course,1,Management (evening attendance),Evening,Secondary education,136.0,Portuguese,Higher Education - Degree,Higher Education - Master's,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,133.9,No,No,No,No,Male,No,26,No,8,12,12,8,11.25,0,3,8,8,3,11.333333333333334,0,7.6,2.6,0.32,Dropout
